lat,lon,name,admin1,admin2,cc
32.2709126,50.98251,378,118,9,
32.2836232,50.8917408,379,118,9,
32.4228214,50.7896658,380,118,9,
32.3906501,50.5714015,381,118,9,
32.2255216,50.7945045,382,118,9,
32.3276473,50.4743756,383,119,9,
32.2537092,50.5976127,384,119,9,
32.1516564,50.6856466,385,119,9,
32.2305757,50.6284832,386,119,9,
32.2549162,50.5624938,387,119,9,
32.2443611,50.5428324,388,119,9,
32.333809,49.9078997,389,120,9,
32.4682525,50.1222437,390,120,9,
32.1669001,50.2758051,391,120,9,
32.0599837,50.7709668,392,121,9,
32.0464968,50.8184796,393,121,9,
32.004757,50.8871785,394,121,9,
31.9344796,50.7276893,395,121,9,
31.5528467,51.0576007,396,122,9,
31.379771,50.8486933,397,122,9,
31.5126237,50.8303948,398,122,9,
31.2931278,51.25909574,399,122,9,
31.5616922,50.60382462,400,122,9,
33.7015379,57.3732972,401,123,10,
33.8662098,57.4253814,402,123,10,
32.8630967,59.2169951,403,124,10,
32.7792099,58.8879164,404,125,10,
-1,-1,405,125,10,
32.9157088,60.0209676,406,126,10,
32.8064566,60.2217692,407,126,10,
33.1495413,59.7165809,408,126,10,
33.000821,60.2266472,409,126,10,
33.6038915,59.9922958,410,127,10,
33.4226757,59.8126423,411,127,10,
33.8862967,58.3810693,412,128,10,
33.8615755,58.5250488,413,128,10,
33.665653,58.3976472,414,128,10,
32.5728594,59.7967053,415,129,10,
32.7063592,59.5243809,416,129,10,
33.2929935,57.5169869,417,130,10,
33.596031,56.9247263,418,130,10,
34.368623,56.9283765,419,130,10,
34.0448547,58.2202617,420,131,10,
34.01816,58.1689746,421,131,10,
33.3309763,59.2341373,422,132,10,
33.6478435,59.7791575,423,132,10,
34.0216542,58.8140837,424,132,10,
33.7258398,59.1893483,425,132,10,
33.9125356,58.9319184,426,132,10,
31.8035023,60.0099186,427,133,10,
31.5431543,60.0349456,428,133,10,
34.9941781,60.3148224,429,134,11,
34.5162755,58.1833975,430,135,11,
34.8055463,58.4372591,431,135,11,
35.2532264,57.8122034,432,136,11,
35.2611338,57.9685311,433,136,11,
-1,-1,434,136,11,
36.3958867,59.2985989,435,137,11,
36.3097179,59.3741338,436,137,11,
34.7401763,60.7755127,437,138,11,
34.8127778,60.8241667,438,138,11,
34.748765,60.6450823,439,138,11,
-1,-1,440,139,11,
35.2432546,60.626313,441,139,11,
35.6871984,61.0943286,442,139,11,
35.4182866,60.3179936,443,139,11,
35.1224857,60.7736351,444,139,11,
-1,-1,445,140,11,
35.2740853,59.2194494,446,140,11,
35.5460635,59.1938079,447,140,11,
35.5855764,58.8787467,448,140,11,
36.638031,57.0743721,449,141,11,
36.7105093,57.4086684,450,142,11,
36.6483961,59.1185005,451,143,11,
36.5725497,59.1966264,452,143,11,
36.4818235,59.1595291,453,143,11,
35.2545313,58.2863427,454,144,11,
35.2116371,58.1508386,455,144,11,
34.5723166,60.1440373,456,145,11,
34.7448255,59.9785539,457,145,11,
34.3995279,60.2571339,458,145,11,
34.3584419,59.8613469,459,145,11,
34.4337222,60.1777943,460,145,11,
36.405159,58.0386871,461,146,11,
36.3521485,56.8766695,462,147,11,
37.3514931,59.0774864,463,148,11,
37.4470313,59.1064876,464,148,11,
37.5178695,59.3411977,465,148,11,
37.5200945,58.9893154,466,148,11,
34.7033333,59.2227778,467,149,11,
34.9751301,59.6245967,468,149,11,
35.2822222,59.5197222,469,150,11,
36.0213929,57.3114755,470,151,11,
36.2134053,57.6808799,471,151,11,
35.9585753,57.766785,472,151,11,
36.5399097,61.1564431,473,152,11,
-1,-1,474,152,11,
35.6858051,60.250539,475,153,11,
35.7664697,59.7345327,476,153,11,
35.701215,59.8465304,477,153,11,
35.5993818,59.9498981,478,153,11,
36.2863586,58.5868002,479,154,11,
36.2976907,58.4637326,480,154,11,
37.6220869,58.4193216,481,155,11,
37.105993,58.5108056,482,155,11,
35.4751589,58.4586724,483,156,11,
35.2444908,58.464248,484,156,11,
-1,-1,485,157,11,
36.9953881,59.7642219,486,157,11,
34.3463245,58.7573243,487,158,11,
34.1511878,58.6392528,488,158,11,
34.350302,58.6859427,489,158,11,
36.2064831,59.7698334,490,159,11,
36.2974945,59.6059232,491,159,11,
36.2862801,59.6722841,492,159,11,
35.9993296,59.5910871,493,159,11,
35.1716343,59.0366756,494,160,11,
35.0223775,58.7859505,495,160,11,
36.4897198,58.7161898,496,161,11,
36.8179746,58.5035404,497,161,11,
36.1442815,59.0158029,498,161,11,
-1,-1,499,161,11,
36.0433722,58.6829884,500,161,11,
36.1063279,59.0597459,501,161,11,
36.210595,58.7922805,502,161,11,
37.0750975,57.5096169,503,162,12,
36.6960952,57.9299731,504,162,12,
37.4759752,57.3319881,505,163,12,
37.3996434,57.53965,506,163,12,
-1,-1,507,163,12,
36.9499996,56.3792939,508,164,12,
37.0997416,56.8492214,509,164,12,
37.3418549,56.886776,510,164,12,
37.9338042,57.1113879,511,165,12,
37.4431601,57.8847592,512,166,12,
37.395352,57.9300305,513,166,12,
37.79141925,57.75559306,514,166,12,
37.6069313,57.8574221,515,166,12,
37.2811331,58.2884947,516,167,12,
37.1147293,58.11716051,517,167,12,
36.9696847,56.2592355,518,168,12,
36.9745545,56.2158601,519,168,12,
36.9870347,56.2888872,520,168,12,
37.5530041,56.92398769,521,169,12,
-1,-1,522,169,12,
37.6370504,56.99247714,523,169,12,
-1,-1,524,169,12,
30.3636097,48.2591475,525,170,13,
29.9786953,48.5189907,526,170,13,
30.1818106,48.5825118,527,170,13,
30.6995647,49.8285336,528,171,13,
30.7590395,49.7040115,529,172,13,
30.8751924,49.853429,530,172,13,
32.1023157,49.42473077,531,173,13,
32.20750145,49.45465457,532,173,13,
32.4041735,48.2512579,533,174,13,
32.458325,48.3521137,534,174,13,
32.7611171,48.2373019,535,174,13,
32.4448307,48.4418611,536,174,13,
32.6826625,48.247497,537,174,13,
31.6572507,48.5934229,538,175,13,
31.3221023,48.6805735,539,175,13,
31.8303661,49.8685539,540,176,13,
31.707783,50.2885498,541,176,13,
31.5246488,49.886497,542,177,13,
31.367373,50.0844132,543,177,13,
31.5359452,49.8708628,544,177,13,
31.3949141,49.88208473,545,177,13,
31.4066455,48.7948143,546,178,13,
31.5841359,48.888229,547,178,13,
31.4855352,48.8758094,548,178,13,
30.54177155,49.0684649,549,179,13,
30.5577268,49.1997454,550,179,13,
30.7079723,49.1635215,551,179,13,
30.5942065,50.2434128,552,180,13,
30.79179735,50.10322754,553,180,13,
30.3267403,50.2208188,554,180,13,
30.6284232,50.304706,555,180,13,
31.4808215,48.4353791,556,181,13,
30.4333105,48.1779858,557,182,13,
30.44715565,48.16819017,558,182,13,
30.3563296,48.2070074,559,182,13,
32.209337,48.5462613,560,183,13,
32.3918951,48.5790869,561,183,13,
32.3780494,48.4032531,562,183,13,
32.4967988,48.8341935,563,183,13,
32.3311531,48.4961792,564,183,13,
32.2978523,48.4295553,565,183,13,
32.2280083,48.4246878,566,183,13,
32.261972,48.4179471,567,183,13,
32.153851,48.4392787,568,183,13,
-1,-1,569,184,13,
31.7215101,47.9867165,570,184,13,
31.5565801,48.1880626,571,184,13,
31.4579456,48.3818881,572,184,13,
30.8939518,49.4093497,573,185,13,
31.0098009,49.4369137,574,185,13,
31.2780254,49.6020152,575,186,13,
30.5392431,48.50549272,576,187,13,
30.7416962,48.4194934,577,187,13,
30.6492516,48.6690288,578,187,13,
31.8750982,48.3388672,579,188,13,
32.1451617,48.3902049,580,188,13,
32.02500155,48.38518967,581,188,13,
32.2003687,48.2489839,582,188,13,
32.1805176,48.2389304,583,188,13,
32.0206734,48.7899226,584,189,13,
32.0892117,48.7684968,585,189,13,
32.0547874,48.8456666,586,189,13,
31.8559767,48.7563581,587,189,13,
31.2395661,48.6512494,588,190,13,
32.2456357,48.8466202,589,191,13,
32.1836847,48.8146563,590,191,13,
32.198813,48.8587387,591,191,13,
32.2120495,48.6722366,592,191,13,
32.2449183,48.8126036,593,191,13,
32.3306321,49.0944,594,192,13,
31.7647539,49.4983012,595,193,13,
32.04333,49.1373245,596,193,13,
31.4462703,49.5288552,597,194,13,
30.3393226,49.751792,598,195,13,
30.2363224,49.7122886,599,195,13,
31.5962386,47.8919447,600,196,13,
31.462778,48.0755697,601,196,13,
36.1436784,49.219963,602,197,14,
36.3038013,49.072849,603,197,14,
36.2520936,49.1302561,604,197,14,
36.2955098,48.0597202,605,198,14,
36.4284545,48.2816192,606,198,14,
35.7565444,48.4811949,607,199,14,
36.2402834,48.5530842,608,199,14,
36.10831425,48.40945759,609,199,14,
36.116691,48.5903473,610,199,14,
36.0443536,48.5057235,611,199,14,
35.8479451,48.1962354,612,199,14,
-1,-1,613,199,14,
36.20354,49.1881871,614,200,14,
36.9773471,48.3731561,615,201,14,
36.6673217,48.4836607,616,201,14,
36.8511873,48.1801063,617,201,14,
36.4345194,48.7940806,618,202,14,
36.9258587,48.953276,619,203,14,
36.9982345,48.7776206,620,203,14,
-1,-1,621,204,14,
36.7456508,47.6716751,622,204,14,
35.2478246,52.4928417,623,205,15,
35.2218074,52.5216992,624,205,15,
36.0268156,54.1405503,625,206,15,
36.167451,54.3379993,626,206,15,
36.4282719,54.2294606,627,206,15,
36.3570835,54.1455832,628,206,15,
35.4638851,53.2135038,629,207,15,
35.5834074,53.3882906,630,208,15,
36.4827556,55.0010717,631,209,15,
36.0790243,55.8098841,632,209,15,
36.3510635,55.0023106,633,209,15,
36.4195026,54.9649915,634,209,15,
36.6737481,55.2968812,635,209,15,
36.4796519,54.6483772,636,209,15,
35.3439147,52.069887,637,210,15,
35.2222875,52.3383855,638,210,15,
35.6539439,53.3379876,639,211,15,
35.7719942,53.3302432,640,211,15,
35.7108029,53.3555769,641,211,15,
36.36207545,56.19257091,642,212,15,
-1,-1,643,213,16,
-1,-1,644,213,16,
-1,-1,645,213,16,
-1,-1,646,213,16,
-1,-1,647,214,16,
-1,-1,648,214,16,
-1,-1,649,215,16,
-1,-1,650,215,16,
-1,-1,651,216,16,
-1,-1,652,217,16,
-1,-1,653,217,16,
-1,-1,654,218,16,
-1,-1,655,218,16,
-1,-1,656,219,16,
-1,-1,657,220,16,
-1,-1,658,220,16,
-1,-1,659,220,16,
-1,-1,660,220,16,
-1,-1,661,220,16,
